manner_of_death,armed,age,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,arms_category,gender
shot,knife,38.0,White,Winchester,VA,FALSE,other,Not fleeing,TRUE,Sharp objects,M
shot,gun,17.0,Black,Zion,IL,FALSE,attack,Foot,FALSE,Guns,M
shot,gun,31.0,Black,Orange,CA,FALSE,attack,Not fleeing,TRUE,Guns,M
shot,gun,34.0,White,Edgewood,NM,TRUE,attack,Car,FALSE,Guns,M
shot and Tasered,unarmed,50.0,Black,North Charleston,SC,FALSE,other,Foot,FALSE,Unarmed,M
shot,knife,51.0,White,Phoenix,AZ,TRUE,other,Not fleeing,FALSE,Sharp objects,M
shot,gun,56.0,White,Tehachapi,CA,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,23.0,White,Indianapolis,IN,TRUE,attack,Not fleeing,FALSE,Guns,M
shot,gun,25.0,Black,Harvey,LA,FALSE,attack,Foot,FALSE,Guns,M
shot,gun,31.0,White,Jefferson County,ID,FALSE,attack,Car,FALSE,Guns,M
shot,gun,32.0,White,Pottawatomie County,OK,FALSE,attack,Car,FALSE,Guns,M
shot,gun,60.0,White,San Antonio,TX,FALSE,attack,Car,FALSE,Guns,M
shot,unknown,42.0,Black,Valdosta,GA,FALSE,attack,Car,FALSE,Unknown,M
shot,gun,39.0,Hispanic,Los Angeles,CA,FALSE,attack,Foot,FALSE,Guns,M
shot,knife,28.0,Asian,Sunnyvale,CA,TRUE,other,Not fleeing,FALSE,Sharp objects,M
shot,sword,22.0,White,Navarre,FL,FALSE,attack,Not fleeing,FALSE,Sharp objects,M
shot,gun,29.0,Black,Monon,IN,FALSE,attack,Car,FALSE,Guns,M
shot,gun,31.0,White,Straban Township,PA,TRUE,attack,Not fleeing,FALSE,Guns,M
shot,gun,28.0,White,Boiling Springs,SC,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,knife,21.0,Hispanic,Corning,CA,FALSE,attack,Not fleeing,FALSE,Sharp objects,M
shot,gun,38.0,White,Topeka,KS,FALSE,attack,Car,FALSE,Guns,M
shot,gun,66.0,White,Sand Springs,OK,TRUE,attack,Not fleeing,TRUE,Guns,M
shot,gun,36.0,Black,Indianapolis,IN,FALSE,attack,Foot,TRUE,Guns,M
shot,machete,83.0,White,Oklahoma City,OK,TRUE,other,Not fleeing,FALSE,Sharp objects,M
shot,gun,32.0,White,Salemburg,NC,TRUE,attack,Car,FALSE,Guns,M
